x,y,type
118,55,3
121,52,3
156,39,5
137,51,3
123,52,3
107,47,3
104,54,3
74,103,2
127,45,3
136,55,3
120,59,3
111,47,3
153,52,3
130,50,3
122,52,3
73,70,2
124,47,3
117,52,3
139,53,3
114,58,3
61,73,2
69,79,2
112,48,3
139,56,3
156,50,3
133,55,3
120,44,3
116,85,1
72,94,2
80,68,2
106,117,1
120,50,3
121,56,3
114,50,3
67,80,2
108,40,3
117,47,3
96,85,1
118,45,3
125,55,3
108,53,3
80,71,2
69,94,2
105,51,3
109,108,1
123,59,3
62,76,2
64,90,2
131,52,3
61,38,0
63,72,2
112,96,1
71,86,2
127,46,3
110,48,3
140,46,3
102,49,3
144,58,3
135,63,3
96,50,3
120,198,9
54,71,2
69,61,2
73,71,2
126,50,3
167,50,5
115,48,3
136,45,3
128,53,3
133,55,3
123,233,9
68,63,2
154,52,3
170,38,5
130,45,3
141,57,3
79,86,2
132,54,3
135,49,3
141,59,3
131,52,3
88,104,2
106,41,3
122,50,3
111,44,3
123,53,3
111,48,3
117,48,3
112,48,3
64,69,2
139,54,3
68,75,2
100,100,1
123,43,3
78,81,2
118,46,3
150,57,3
106,44,3
112,38,3
138,55,3
86,118,2
123,49,3
146,56,3
102,41,3
69,64,2
100,109,1
117,108,1
130,41,3
109,120,1
126,47,3
62,72,2
157,62,3
134,48,3
30,12,0
55,63,2
144,56,3
79,88,2
118,99,1
143,50,3
74,88,2
133,42,3
135,52,3
123,56,3
130,52,3
135,100,0
142,55,3
131,59,3
126,48,3
79,80,2
87,115,2
75,76,2
126,58,3
68,86,2
69,2,0
63,82,2
121,59,3
119,54,3
130,54,3
130,50,3
129,56,3
60,66,2
129,44,3
120,45,3
64,81,2
64,83,2
111,104,1
131,57,3
113,55,3
123,59,3
116,46,3
71,75,2
78,62,2
181,44,5
76,76,2
95,80,1
109,37,3
111,45,3
119,51,3
123,52,3
113,45,3
136,52,3
118,54,3
95,52,3
101,98,1
123,59,3
60,19,0
78,60,2
110,100,1
130,43,3
115,49,3
72,79,2
72,38,0
128,46,3
63,89,2
64,95,2
73,0,0
113,47,3
127,55,3
120,45,3
75,97,2
112,49,3
122,49,3
119,95,1
116,54,3
118,56,3
119,48,3
117,124,1
118,44,3
59,68,2
124,48,3
105,128,1
80,75,2
87,105,2
121,47,3
63,63,2
124,45,3
126,46,3
82,85,2
120,47,3
133,54,3
83,6,0
111,48,3
131,51,3
128,45,3
110,50,3
63,68,2
119,47,3
42,8,0
119,46,3
68,67,2
116,47,3
137,47,3
134,51,3
143,58,3
130,54,3
67,39,0
133,57,3
134,60,3
115,47,3
60,66,2
122,52,3
77,86,2
108,47,3
142,59,3
70,42,0
70,62,2
137,54,3
70,86,2
110,56,3
123,51,3
139,58,3
132,50,3
74,91,2
135,52,3
76,100,2
140,49,3
101,90,1
76,74,2
119,50,3
68,83,2
80,69,2
121,51,3
122,45,3
27,1,0
127,56,3
56,35,0
128,50,3
141,54,3
70,96,2
104,2,0
131,49,3
130,48,3
124,45,3
113,46,3
70,100,2
63,68,2
151,54,3
122,56,3
78,70,2
125,51,3
129,53,3
66,61,2
135,52,3
114,51,3
70,68,2
99,48,3
119,57,3
106,100,1
136,54,3
138,55,3
143,57,3
96,52,3
60,90,2
119,53,3
122,57,3
64,76,2
74,79,2
31,14,0
129,41,3
180,46,5
102,206,9
72,67,2
128,45,3
127,49,3
125,51,3
117,49,3
129,53,3
69,73,2
120,52,3
69,64,2
125,51,3
125,49,3
133,49,3
115,54,3
108,87,1
121,59,3
139,47,3
176,44,5
131,54,3
113,105,1
134,60,3
96,101,1
50,20,0
77,85,2
132,52,3
97,2,0
63,61,2
122,51,3
128,53,3
105,106,1
119,55,3
139,52,3
114,49,3
138,51,3
75,47,0
69,68,2
107,96,1
143,80,0
